DATE,COUNTRY,PRODUCT,SALES
1/1/2018,INDIA,TV,509
1/2/2018,UK,TAB,406
1/3/2018,US,PHONE,976
1/4/2018,GERMANY,SPEAKERS,13
1/5/2018,INDIA,IPHONE,966
1/6/2018,UK,TV,495
1/7/2018,US,TAB,69
1/8/2018,GERMANY,PHONE,4
1/9/2018,INDIA,SPEAKERS,175
1/10/2018,UK,IPHONE,502
1/11/2018,US,TV,365
1/12/2018,GERMANY,TAB,257
1/13/2018,INDIA,PHONE,742
1/14/2018,UK,SPEAKERS,260
1/15/2018,US,IPHONE,779
1/16/2018,GERMANY,TV,808
1/17/2018,INDIA,TAB,892
1/18/2018,UK,PHONE,767
1/19/2018,US,SPEAKERS,648
1/20/2018,GERMANY,IPHONE,929
1/21/2018,INDIA,TV,142
1/22/2018,UK,TAB,430
1/23/2018,US,PHONE,831
1/24/2018,GERMANY,SPEAKERS,163
1/25/2018,INDIA,IPHONE,375
1/26/2018,UK,TV,455
1/27/2018,US,TAB,762
1/28/2018,GERMANY,PHONE,356
1/29/2018,INDIA,SPEAKERS,756
1/30/2018,UK,IPHONE,532
1/31/2018,US,TV,814
2/1/2018,GERMANY,TAB,173
2/2/2018,INDIA,PHONE,539
2/3/2018,UK,SPEAKERS,289
2/4/2018,US,IPHONE,766
2/5/2018,GERMANY,TV,819
2/6/2018,INDIA,TAB,358
2/7/2018,UK,PHONE,501
2/8/2018,US,SPEAKERS,381
2/9/2018,GERMANY,IPHONE,744
2/10/2018,INDIA,TV,83
2/11/2018,UK,TAB,344
2/12/2018,US,PHONE,914
2/13/2018,GERMANY,SPEAKERS,242
2/14/2018,INDIA,IPHONE,410
2/15/2018,UK,TV,996
2/16/2018,US,TAB,351
2/17/2018,GERMANY,PHONE,801
2/18/2018,INDIA,SPEAKERS,438
2/19/2018,UK,IPHONE,204
2/20/2018,US,TV,973
2/21/2018,GERMANY,TAB,650
2/22/2018,INDIA,PHONE,74
2/23/2018,UK,SPEAKERS,146
2/24/2018,US,IPHONE,961
2/25/2018,GERMANY,TV,393
2/26/2018,INDIA,TAB,726
2/27/2018,UK,PHONE,794
2/28/2018,US,SPEAKERS,999
3/1/2018,GERMANY,IPHONE,122
3/2/2018,INDIA,TV,277
3/3/2018,UK,TAB,451
3/4/2018,US,PHONE,208
3/5/2018,GERMANY,SPEAKERS,96
3/6/2018,INDIA,IPHONE,118
3/7/2018,UK,TV,664
3/8/2018,US,TAB,750
3/9/2018,GERMANY,PHONE,140
3/10/2018,INDIA,SPEAKERS,520
3/11/2018,UK,IPHONE,238
3/12/2018,US,TV,113
3/13/2018,GERMANY,TAB,806
3/14/2018,INDIA,PHONE,884
3/15/2018,UK,SPEAKERS,772
3/16/2018,US,IPHONE,103
3/17/2018,GERMANY,TV,416
3/18/2018,INDIA,TAB,726
3/19/2018,UK,PHONE,942
3/20/2018,US,SPEAKERS,264
3/21/2018,GERMANY,IPHONE,800
3/22/2018,INDIA,TV,895
3/23/2018,UK,TAB,78
3/24/2018,US,PHONE,476
3/25/2018,GERMANY,SPEAKERS,515
3/26/2018,INDIA,IPHONE,80
3/27/2018,UK,TV,779
3/28/2018,US,TAB,312
3/29/2018,GERMANY,PHONE,125
3/30/2018,INDIA,SPEAKERS,380
3/31/2018,UK,IPHONE,284
4/1/2018,US,TV,16
4/2/2018,GERMANY,TAB,783
4/3/2018,INDIA,PHONE,572
4/4/2018,UK,SPEAKERS,176
4/5/2018,US,IPHONE,333
4/6/2018,GERMANY,TV,225
4/7/2018,INDIA,TAB,70
4/8/2018,UK,PHONE,524
4/9/2018,US,SPEAKERS,762
4/10/2018,GERMANY,IPHONE,195
4/11/2018,INDIA,TV,706
4/12/2018,UK,TAB,929
4/13/2018,US,PHONE,17
4/14/2018,GERMANY,SPEAKERS,803
4/15/2018,INDIA,IPHONE,419
4/16/2018,UK,TV,167
4/17/2018,US,TAB,590
4/18/2018,GERMANY,PHONE,125
4/19/2018,INDIA,SPEAKERS,694
4/20/2018,UK,IPHONE,920
4/21/2018,US,TV,260
4/22/2018,GERMANY,TAB,312
4/23/2018,INDIA,PHONE,734
4/24/2018,UK,SPEAKERS,679
4/25/2018,US,IPHONE,921
4/26/2018,GERMANY,TV,950
4/27/2018,INDIA,TAB,294
4/28/2018,UK,PHONE,252
4/29/2018,US,SPEAKERS,820
4/30/2018,GERMANY,IPHONE,210
5/1/2018,INDIA,TV,349
5/2/2018,UK,TAB,815
5/3/2018,US,PHONE,746
5/4/2018,GERMANY,SPEAKERS,867
5/5/2018,INDIA,IPHONE,36
5/6/2018,UK,TV,782
5/7/2018,US,TAB,120
5/8/2018,GERMANY,PHONE,791
5/9/2018,INDIA,SPEAKERS,515
5/10/2018,UK,IPHONE,898
5/11/2018,US,TV,353
5/12/2018,GERMANY,TAB,594
5/13/2018,INDIA,PHONE,972
5/14/2018,UK,SPEAKERS,660
5/15/2018,US,IPHONE,232
5/16/2018,GERMANY,TV,157
5/17/2018,INDIA,TAB,375
5/18/2018,UK,PHONE,376
5/19/2018,US,SPEAKERS,469
5/20/2018,GERMANY,IPHONE,634
5/21/2018,INDIA,TV,850
5/22/2018,UK,TAB,677
5/23/2018,US,PHONE,140
5/24/2018,GERMANY,SPEAKERS,946
5/25/2018,INDIA,IPHONE,719
5/26/2018,UK,TV,361
5/27/2018,US,TAB,722
5/28/2018,GERMANY,PHONE,72
5/29/2018,INDIA,SPEAKERS,168
5/30/2018,UK,IPHONE,465
5/31/2018,US,TV,948
6/1/2018,GERMANY,TAB,365
6/2/2018,INDIA,PHONE,504
6/3/2018,UK,SPEAKERS,950
6/4/2018,US,IPHONE,184
6/5/2018,GERMANY,TV,670
6/6/2018,INDIA,TAB,59
6/7/2018,UK,PHONE,580
6/8/2018,US,SPEAKERS,199
6/9/2018,GERMANY,IPHONE,194
6/10/2018,INDIA,TV,433
6/11/2018,UK,TAB,240
6/12/2018,US,PHONE,838
6/13/2018,GERMANY,SPEAKERS,996
6/14/2018,INDIA,IPHONE,288
6/15/2018,UK,TV,626
6/16/2018,US,TAB,421
6/17/2018,GERMANY,PHONE,870
